,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total
824,ropi01,1834773,Davidoff Evolved Red,26.0,"[95, 58, 23]",3,3.0,3.0,3,3,3
825,ropi01,1834779,Davidoff Evolved Blue,26.0,"[95, 58, 23]",11,10.0,10.0,11,11,10
826,ropi01,1834785,P&S Black,23.0,"[87, 56, 23]",8,7.0,7.0,9,9,7
827,ropi01,1834797,Rothmans of London DEMI Blue,20.0,"[86, 48, 20]",4,3.0,3.0,6,6,3
828,ropi01,1834803,Rothmans Demi Ultramarine,20.0,"[86, 48, 20]",5,4.0,4.0,10,10,4
829,ropi01,1835145,Marlboro KS Box Red FWD,25.0,"[88, 55, 23]",4,3.0,3.0,4,4,3
830,ropi01,1835163,Chesterfield Red (Crown) KS,25.0,"[88, 55, 23]",2,2.0,2.0,2,2,2
831,ropi01,1835175,Chesterfield Blue (Crown) KS,25.0,"[88, 55, 23]",5,3.0,3.0,5,5,3
832,ropi01,1835193,Chesterfield Red 70 Box,21.0,"[75, 55, 22]",6,5.0,5.0,7,7,5
833,ropi01,1835205,Marlboro Red FWD 70 RS Box,21.0,"[75, 55, 22]",5,4.0,4.0,6,6,4
834,ropi01,1835211,L&M Blue Label,24.0,"[88, 55, 23]",7,8.0,8.0,10,10,8
835,ropi01,1835217,Vogue La Cigarette Lilas,18.0,"[102, 56, 13]",20,11.0,11.0,24,24,11
836,ropi01,1835223,Chesterfield Red (CROWN) 100,29.0,"[102, 55, 23]",4,5.0,5.0,7,6,5
837,ropi01,1835241,Marlboro Touch Core BOT SLI,22.0,"[85, 53, 22]",4,3.0,3.0,4,4,3
838,ropi01,1835247,Marlboro Touch 3.5 KS,22.0,"[85, 53, 22]",16,10.0,9.0,20,20,10
839,ropi01,1835253,L&M LOFT Aqua BOT SLI,21.0,"[86, 50, 20]",5,3.0,3.0,6,6,3
840,ropi01,1835259,L&M Forward KS,24.0,"[88, 55, 23]",5,5.0,5.0,5,5,5
841,ropi01,1835265,Petra Klasik Červená KS,24.0,"[88, 55, 23]",12,13.0,12.0,13,13,13
842,ropi01,1835271,Petra Klasik Modrá KS,24.0,"[88, 55, 23]",3,0.0,,3,3,0
843,ropi01,1835277,Chesterfield Red (CROWN) 25´s,32.0,"[87, 65, 30]",7,3.0,3.0,9,9,3
844,ropi01,1835283,Chesterfield Blue (CROWN) 25´s,32.0,"[87, 65, 30]",6,5.0,5.0,6,6,5
845,ropi01,1835289,Lucky Strike Amber,30.0,"[88, 55, 23]",1,1.0,1.0,1,1,1
846,ropi01,1835295,Rothmans Longs Violet,30.0,"[100, 63, 13]",3,2.0,2.0,3,3,2
847,ropi01,1835787,Gerber Cereal Mléčná kaše banánová Dobrou noc,238.0,"[195, 136, 48]",1,1.0,1.0,1,1,1
848,ropi01,1836075,Golden Virginia cigaretový tabák,36.0,"[122, 72, 18]",5,5.0,5.0,5,5,5
849,ropi01,1837810,LD Pink,16.0,"[102, 56, 13]",1,1.0,1.0,1,1,1
850,ropi01,898701,nimm2 Pomerančovo-citronová náplň,94.0,"[26, 138, 180]",46,46.0,46.0,47,47,46
851,ropi01,898791,Wrigley's Orbit žvýkačky bez cukru s peppermintovou příchutí dóza,82.0,"[80, 57, 69]",51,35.0,35.0,62,62,35
852,ropi01,898986,Bonduelle Fazole bílé v rajské omáčce pálivé,492.0,"[84, 83, 84]",1,1.0,1.0,1,1,1
853,ropi01,899040,Dr.Oetker Krtkův dort,463.0,"[212, 143, 47]",50,48.0,48.0,50,50,48
854,ropi01,899106,Giana Rajčata loupaná celá,466.0,"[108, 73, 73]",1,1.0,1.0,1,1,1
855,ropi01,899169,Lagris Rýže parboiled+indiánská,518.0,"[171, 39, 124]",57,57.0,57.0,57,57,57
856,ropi01,899265,Exotic Food Zelená kari pasta,56.0,"[11, 120, 164]",52,52.0,52.0,63,53,52
857,ropi01,899310,Kotányi Pepř bílý mletý,20.0,"[10, 103, 140]",34,34.0,34.0,51,34,34
858,ropi01,899352,Podravka přísada Natur,160.0,"[43, 129, 176]",91,88.0,88.0,91,91,88
859,ropi01,899376,Davidoff Café Espresso 57 pražená zrnková káva,502.0,"[75, 129, 205]",2,3.0,2.0,3,3,3
860,ropi01,899388,illy Espresso káva mletá,388.0,"[144, 90, 90]",40,37.0,37.0,40,40,37
861,ropi01,899397,Tassimo Jacobs Cappuccino kapsle,387.0,"[174, 151, 75]",16,16.0,16.0,16,16,16
862,ropi01,899403,Jihlavanka Standard Original pražená mletá káva,254.0,"[45, 146, 223]",67,65.0,65.0,70,69,65
863,ropi01,899415,Nescafé Dolce Gusto Café au Lait,237.0,"[122, 122, 124]",5,5.0,5.0,5,5,5
864,ropi01,899421,Nescafé Dolce Gusto Latte Macchiato,274.0,"[122, 123, 124]",8,8.0,8.0,8,8,8
865,ropi01,899439,Pickwick Zelený čaj variace,60.0,"[73, 63, 122]",37,35.0,35.0,37,37,35
866,ropi01,899448,Teekanne Čaj Dýchací cesty,40.0,"[75, 79, 82]",2,2.0,2.0,2,2,2
867,ropi01,899748,Linteo Baby Dětské vlhčené ubrousky s měsíčkem lékařským 72 ks,346.0,"[64, 106, 218]",2,4.0,3.0,4,4,4
868,ropi01,900072,Valfrutta Rajčata loupaná,450.0,"[108, 72, 74]",1,1.0,1.0,1,1,1
869,ropi01,900135,Flour Tortillas Tomato s chilli 25cm 6ks,434.0,"[132, 72, 99]",49,62.0,51.0,68,63,62
870,ropi01,900279,Duck Fresh Discs Levandule 36ml,96.0,"[53, 142, 182]",28,28.0,28.0,28,28,28
871,ropi01,900354,Bionebio BIO Moje sušenky kakaové s kokosem,130.0,"[66, 103, 165]",6,4.0,4.0,6,6,4
872,ropi01,900357,Bionebio BIO Melasky - celozrnné sušenky,138.0,"[74, 110, 162]",6,3.0,3.0,6,6,3
873,ropi01,900435,Lagris Fazole červená,485.0,"[59, 90, 153]",55,54.0,54.0,55,55,54
874,ropi01,900438,Douwe Egberts Grand aroma mletá káva,256.0,"[49, 84, 154]",3,3.0,3.0,3,3,3
875,ropi01,900444,Pickwick čaj Průdušky,40.0,"[81, 70, 81]",1,1.0,1.0,1,1,1
876,ropi01,900501,Sonnentor BIO Čaj Balzám na nervy,60.0,"[124, 72, 85]",36,36.0,36.0,36,36,36
877,ropi01,900516,Sonnentor BIO Čaj Dobrá nálada,62.0,"[82, 74, 126]",7,5.0,5.0,7,7,5
878,ropi01,900522,Sonnentor BIO Čaj Lehčí než pírko,70.0,"[81, 72, 126]",14,14.0,14.0,14,14,14
879,ropi01,900525,Sonnentor BIO Čaj Meduňka citronová sypaný,68.0,"[63, 103, 214]",27,27.0,27.0,27,27,27
880,ropi01,900528,Sonnentor BIO Poznávací sada čajů „Ochutnej“,71.0,"[120, 70, 180]",10,10.0,10.0,10,10,10
881,ropi01,900531,Sonnentor BIO Čaj Pro dobrý pocit v břiše,60.0,"[84, 71, 124]",44,43.0,43.0,44,44,43
882,ropi01,900549,Sonnentor BIO Majoránka,20.0,"[110, 35, 55]",55,40.0,40.0,56,55,40
883,ropi01,900555,Sonnentor BIO Pepř barevný celý,58.0,"[110, 35, 55]",68,54.0,54.0,70,69,54
884,ropi01,900558,Sonnentor BIO Pepř černý celý,58.0,"[110, 35, 55]",18,14.0,14.0,19,19,14
885,ropi01,900561,Sonnentor BIO Tymián,28.0,"[112, 38, 57]",35,23.0,23.0,36,36,23
886,ropi01,900597,Nutrifree Panfette Domácí krájený chléb bez lepku,394.0,"[63, 183, 245]",34,34.0,33.0,35,35,34
887,ropi01,900639,Holle BIO Rýžová kaše,300.0,"[62, 126, 204]",13,13.0,13.0,13,13,13
888,ropi01,900696,Kávoviny Melta instant,302.0,"[150, 99, 99]",30,30.0,30.0,39,30,30
889,ropi01,900723,Vitakáva,290.0,"[150, 99, 99]",23,23.0,23.0,28,23,23
890,ropi01,900753,nimm2 Soft fruit,100.0,"[151, 163, 24]",96,95.0,95.0,96,96,95
891,ropi01,900768,nimm2 Smilegummi,104.0,"[33, 113, 167]",107,105.0,105.0,109,108,105
892,ropi01,900984,Hamé Maďarský guláš sterilované hotové jídlo EasyCup,448.0,"[85, 103, 103]",11,8.0,8.0,14,14,8
893,ropi01,901005,Hamé Krůtí ve vlastní šťávě,360.0,"[47, 99, 100]",12,12.0,12.0,12,12,12
894,ropi01,901008,Hamé Vepřové maso ve vlastní šťávě,360.0,"[46, 100, 100]",30,29.0,29.0,30,30,29
895,ropi01,901200,Ecover All in One tablety do myčky,551.0,"[143, 64, 140]",24,21.0,21.0,24,24,21
896,ropi01,901218,Skittles ovocné žvýkací bonbóny,38.0,"[16, 66, 133]",101,92.0,92.0,105,104,92
897,ropi01,901248,Nescafé Dolce Gusto Caffé Lungo,195.0,"[123, 122, 123]",98,98.0,98.0,99,98,98
898,ropi01,901257,Bonavita Zajíc Sójový nápoj natural,448.0,"[57, 151, 215]",50,52.0,50.0,52,52,52
899,ropi01,901317,Dr.Oetker Muffiny s čokoládou v prášku,356.0,"[214, 53, 142]",45,44.0,44.0,45,45,44
900,ropi01,901536,Orion Pralinky rumové,150.0,"[26, 87, 171]",55,55.0,55.0,55,55,55
901,ropi01,901539,"Nutrifree Hamburger bulky bezlepkové, 2ks",200.0,"[46, 127, 296]",46,40.0,39.0,49,49,40
902,ropi01,901671,Durex Feel thin extra lubricated,40.0,"[43, 63, 127]",31,30.0,30.0,31,31,30
903,ropi01,901752,"Ahmad Tea Revitalise Šípek, ibišek a třešeň (20x2g)",78.0,"[80, 70, 134]",36,34.0,34.0,36,36,34
904,ropi01,901767,HiPP BIO První obilná kaše 100% ovesná,244.0,"[47, 128, 202]",3,3.0,3.0,3,3,3
905,ropi01,901878,Curaprox Ultra Soft 5460 zubní kartáčky,58.0,"[27, 69, 224]",29,28.0,28.0,33,29,28
906,ropi01,902310,Exotic Food Tom Yum paste,60.0,"[11, 119, 164]",23,23.0,23.0,30,24,23
907,ropi01,902493,Nestlé FITNESS Jogurtové snídaňové cereálie,400.0,"[48, 194, 261]",35,35.0,33.0,38,38,35
908,ropi01,902613,Zemanka BIO Dýňové krekry se špaldou a česnekem,106.0,"[59, 103, 180]",18,16.0,15.0,23,22,16
909,ropi01,902616,Zemanka BIO Sýrové krekry se špaldou a slunečnicí,106.0,"[61, 102, 175]",30,29.0,29.0,33,32,29
910,ropi01,902679,Opavia BeBe Rodinné mléčné cereální sušenky,142.0,"[128, 51, 62]",158,129.0,129.0,161,159,129
911,ropi01,902724,Dilmah Čaj zelený Marocká máta,58.0,"[58, 80, 130]",2,2.0,2.0,2,2,2
912,ropi01,902727,Dilmah Zelený čaj,58.0,"[57, 81, 131]",28,20.0,20.0,28,28,20
913,ropi01,902796,Bohemilk Mléko sušené plnotučné,440.0,"[61, 127, 200]",40,41.0,40.0,41,41,41
914,ropi01,902838,Tampax Compak Regular Tampony,88.0,"[74, 69, 92]",40,38.0,38.0,40,40,38
915,ropi01,902856,Gillette Venus Classic Strojek + 2 hlavice,64.0,"[57, 88, 199]",18,18.0,18.0,18,18,18
916,ropi01,902949,Nescafé Dolce Gusto Espresso,170.0,"[122, 122, 122]",6,6.0,6.0,6,6,6
917,ropi01,902958,Nescafé Dolce Gusto Ristretto Ardenza,193.0,"[122, 123, 124]",1,1.0,1.0,1,1,1
918,ropi01,903042,Rio Mare Tuňák v extra panenském olivovém oleji 3×80g,328.0,"[68, 202, 36]",20,10.0,10.0,20,20,10
919,ropi01,903093,Duck Fresh Discs Limetka 36ml,90.0,"[53, 142, 183]",41,42.0,41.0,42,42,42
920,ropi01,903222,NOMINAL Bezlepková směs se lněnou vlákninou,547.0,"[47, 147, 195]",13,14.0,13.0,14,14,14
921,ropi01,903225,NOMINAL Bezlepková směs s pohankou,549.0,"[193, 49, 147]",6,6.0,6.0,6,6,6
922,ropi01,903297,Vitana Polévka rajská,80.0,"[17, 128, 154]",31,31.0,31.0,31,31,31
923,ropi01,903318,"Vergnano Gran Aroma, mletá káva",254.0,"[47, 79, 158]",10,10.0,10.0,10,10,10
924,ropi01,903324,Vergnano Arabica kasple,114.0,"[122, 94, 118]",22,22.0,22.0,22,22,22
925,ropi01,903330,Vergnano Éspresso Cremoso kapsle,120.0,"[85, 122, 160]",1,1.0,1.0,1,1,1
926,ropi01,903408,MAGGI Dobrý hostinec Kuře na paprice s těstovinami,160.0,"[29, 156, 214]",93,92.0,92.0,94,93,92
927,ropi01,903468,Tchibo Cafissimo Espresso Elegant,120.0,"[49, 59, 198]",21,15.0,15.0,21,21,15
928,ropi01,903471,Sudocrem,152.0,"[53, 86, 86]",18,7.0,7.0,25,25,7
929,ropi01,903552,HiPP BIO Borůvkové rýžové oplatky,60.0,"[58, 161, 165]",6,6.0,6.0,6,6,6
930,ropi01,903600,JOJO Medvídci želé bonbóny s ovocnými příchutěmi,172.0,"[32, 147, 182]",92,84.0,83.0,98,98,84
931,ropi01,903657,HiPP Mama čaj pro kojící matky,244.0,"[150, 74, 74]",44,44.0,44.0,53,45,44
932,ropi01,903690,HiPP Babysanft Čisticí vlhčené ubrousky aqua natural,78.0,"[10, 200, 105]",17,17.0,17.0,18,18,17
933,ropi01,903726,Bionebio BIO Kukuřičné lupínky dětské,218.0,"[65, 148, 243]",18,17.0,17.0,18,18,17
934,ropi01,903864,Sunar Mléčná krupicová kaše na dobrou noc medová,260.0,"[204, 61, 136]",2,2.0,2.0,2,2,2
935,ropi01,903975,Sunar Mléčná rýžová kaše na dobrou noc banánová,270.0,"[131, 64, 204]",44,46.0,45.0,47,46,46
936,ropi01,903987,Sunar Malinový nápoj,246.0,"[142, 90, 90]",22,22.0,22.0,27,22,22
937,ropi01,903990,Sunar Rozpustný nápoj šípkový s borůvkami,240.0,"[142, 90, 90]",2,2.0,2.0,2,2,2
938,ropi01,904143,Hami Sušenky keksíky,248.0,"[191, 79, 150]",2,2.0,2.0,2,2,2
939,ropi01,904170,Hami Kapsička jablíčko a banán,107.0,"[155, 82, 35]",59,48.0,48.0,60,60,48
940,ropi01,904173,Hami Kapsička ovocný koktejl,107.0,"[155, 82, 35]",1,1.0,1.0,1,1,1
941,ropi01,904302,Bio-D Mýdlo s konopným olejem,100.0,"[27, 53, 81]",1,1.0,1.0,5,4,1
942,ropi01,904518,Cafédirect BIO Machu Picchu SCA 82 mletá káva,240.0,"[73, 111, 186]",4,4.0,4.0,4,4,4
943,ropi01,904659,Babybio BIO Nemléčná rýžovo-quinoová kaše s vanilkou,318.0,"[124, 101, 101]",25,24.0,24.0,27,25,24
944,ropi01,904671,Babybio BIO Kapsička krupice s vanilkou (4×90g),392.0,"[132, 68, 137]",46,47.0,47.0,48,47,47
945,ropi01,904683,Babybio BIO Dýňová polévka s pastiňákem,194.0,"[28, 123, 138]",24,24.0,24.0,24,24,24
946,ropi01,904725,Babybio BIO Ratatouille po provensálsku s rýží – večerní (2×200g),440.0,"[65, 95, 192]",13,13.0,13.0,13,13,13
947,ropi01,904728,Babybio BIO Lilek na způsob musaky s jehněčím masem (2×200g),444.0,"[64, 94, 190]",7,7.0,7.0,7,7,7
948,ropi01,904731,Babybio BIO Brambory a špenát s lososem a rýží (2×200g),448.0,"[64, 95, 190]",9,9.0,9.0,9,9,9
949,ropi01,904734,Babybio BIO Zelenina s kuřetem a quinoa (2×200g),454.0,"[63, 94, 191]",16,16.0,16.0,16,16,16
950,ropi01,904737,Babybio BIO Dušená zelenina s jehněčím masem,266.0,"[43, 128, 130]",12,11.0,11.0,12,12,11
951,ropi01,904746,Always Ultra Normal Plus Hygienické vložky s křidélky,90.0,"[77, 101, 184]",85,86.0,85.0,86,86,86
952,ropi01,904752,Naturella Vložky Ultra Maxi,80.0,"[48, 105, 187]",33,31.0,31.0,34,34,31
953,ropi01,904833,Zemanka BIO Kávové sušenky,106.0,"[42, 101, 176]",20,14.0,14.0,20,20,14
954,ropi01,905025,Bel Premium Vlhké odličovací tampony s aloe vera,76.0,"[80, 80, 51]",21,21.0,20.0,22,22,21
955,ropi01,905052,Weleda BIO Čaj pro kojící ženy – 20 nálevových sáčků,80.0,"[69, 77, 134]",41,39.0,39.0,41,41,39
956,ropi01,905175,Linteo Vlhčené ubrousky pro intimní hygienu,40.0,"[21, 79, 150]",33,32.0,32.0,33,33,32
957,ropi01,905232,Werther´s Original Creamy Filling,86.0,"[28, 157, 157]",54,54.0,54.0,54,54,54
958,ropi01,905262,Linteo Baby Dětské vlhčené ubrousky ultra sensitive 64 ks,342.0,"[74, 110, 244]",24,18.0,17.0,26,26,18
959,ropi01,905370,Country Life Otruby ovesné,250.0,"[44, 107, 163]",22,22.0,22.0,22,22,22
960,ropi01,905385,Brit Paté & Meat Rabbit pro psy,460.0,"[110, 80, 80]",3,3.0,3.0,3,3,3
961,ropi01,905388,Brit Paté & Meat Chicken pro psy,458.0,"[107, 73, 73]",67,58.0,58.0,70,70,58
962,ropi01,905490,Brit Premium Cat Meat Plate kapsičky pro kočky 4×100 g,424.0,"[160, 40, 220]",1,1.0,1.0,1,1,1
963,ropi01,905511,Brit Animals HAMSTER Complete pro křečky,298.0,"[69, 137, 250]",15,15.0,15.0,15,15,15
964,ropi01,905640,Maldon Sůl mořská,270.0,"[132, 65, 86]",62,55.0,54.0,69,64,55
965,ropi01,905658,Dr.Oetker Krémová náplň čokoládová,84.0,"[185, 120, 12]",11,11.0,11.0,11,11,11
966,ropi01,905769,Nescafé Dolce Gusto Espresso Decaffeinato,200.0,"[123, 121, 121]",1,1.0,1.0,1,1,1
967,ropi01,906102,Kávoviny Melta káva porce,182.0,"[80, 145, 65]",93,92.0,92.0,94,93,92
968,ropi01,906129,Moltex Pure & Nature EKO Jednorázové dětské plenky newborn 2–4 kg (velikost 1),486.0,"[122, 94, 118]",5,5.0,5.0,5,5,5
969,ropi01,906360,Nestlé Sinlac Nemléčná kaše,559.0,"[210, 144, 62]",24,25.0,24.0,25,25,25
970,ropi01,906471,Sonnentor BIO Děkuji,68.0,"[120, 70, 80]",22,19.0,18.0,23,23,19
971,ropi01,906480,Country Life BIO Rýže černá natural,496.0,"[59, 102, 156]",21,20.0,20.0,21,21,20
972,ropi01,906483,Country Life BIO Rýže jasmínová,500.0,"[48, 106, 161]",46,46.0,46.0,46,46,46
973,ropi01,906546,illy Espresso káva mletá bez kofeinu,382.0,"[144, 90, 90]",27,26.0,26.0,27,27,26
974,ropi01,906549,Van Houten Kakao,140.0,"[43, 82, 125]",32,32.0,32.0,32,32,32
975,ropi01,906606,K2r Čistič pračky 3v1,170.0,"[122, 94, 118]",63,62.0,62.0,63,63,62
976,ropi01,906702,Giana Filety ze sledě v rostlinném oleji,190.0,"[27, 82, 149]",17,16.0,16.0,17,17,16
977,ropi01,906771,Holle BIO Jahelná mléčná kaše vhodná od 4. měsíce věku,294.0,"[203, 50, 128]",1,1.0,1.0,1,1,1
978,ropi01,906828,Franz Josef Kaiser Olivy zelené plněné pálivou paprikovou pastou,350.0,"[101, 64, 66]",2,2.0,2.0,2,2,2
979,ropi01,906894,Holle BIO Dětské špaldové keksy,170.0,"[43, 68, 163]",1,1.0,1.0,1,1,1
980,ropi01,906900,"Holle BIO Kapsička hruška, jablko a špenát",110.0,"[100, 50, 20]",2,0.0,,2,2,0
981,ropi01,906918,"Holle BIO Kapsička broskev, meruňka, banán a špalda",110.0,"[100, 50, 20]",11,11.0,11.0,11,11,11
982,ropi01,907002,Wasa Original crisp,237.0,"[45, 133, 150]",36,36.0,36.0,36,36,36
983,ropi01,907074,Dr.Oetker Želatina na vaječnou tlačenku a aspiky,22.0,"[16, 73, 110]",28,27.0,27.0,31,29,27
984,ropi01,907122,Probio BIO Kukuřičná mouka hladká,458.0,"[59, 116, 202]",54,55.0,54.0,55,55,55
985,ropi01,907128,Probio BIO Krupice kukuřičná,446.0,"[59, 95, 238]",34,33.0,33.0,34,34,33
986,ropi01,907134,Probio BIO Krupice pšeničná celozrnná,406.0,"[44, 99, 222]",16,19.0,16.0,19,19,19
987,ropi01,907170,nimm2 Smilegummi Apple Buddies,112.0,"[27, 137, 152]",102,101.0,101.0,103,103,101
988,ropi01,907356,Biolinie BIO Bulgur s červenou čočkou,236.0,"[185, 87, 90]",5,5.0,5.0,5,5,5
989,ropi01,907443,Max Sport BIO Organic pasta černé fazole,208.0,"[59, 172, 278]",16,16.0,16.0,16,16,16
990,ropi01,907524,Vitana Hovězí polévka,62.0,"[15, 127, 157]",49,50.0,50.0,53,50,50
991,ropi01,907527,Vitana Poctivá Bramboračka s houbami,104.0,"[27, 144, 196]",28,28.0,28.0,28,28,28
992,ropi01,907530,Vitana Poctivá Gulášová polévka,108.0,"[28, 145, 193]",82,81.0,81.0,82,82,81
993,ropi01,907566,Vitana Houbový bujón s hříbky 3l (6x10g),64.0,"[16, 59, 79]",54,47.0,46.0,60,59,47
994,ropi01,907575,Vitana Vanilínový cukr pack 5ks,110.0,"[28, 88, 151]",22,22.0,22.0,22,22,22
995,ropi01,907662,Probio BIO Čočka zelená,500.0,"[44, 104, 214]",26,28.0,25.0,29,29,28
996,ropi01,907665,Probio BIO Fazole bílá ledvina,500.0,"[44, 103, 206]",33,31.0,30.0,36,34,31
997,ropi01,907668,Probio BIO Fazole červená ledvina,508.0,"[47, 99, 214]",22,22.0,22.0,22,22,22
998,ropi01,907755,Probio BIO Vločky rýžové,204.0,"[53, 89, 169]",24,24.0,24.0,24,24,24
999,ropi01,907785,Biolinie BIO Fazole bílé Cannelliny sterilované,486.0,"[108, 72, 74]",67,56.0,56.0,67,67,56
1000,ropi01,907812,Linteo Vlhčené čistící ubrousky na brýle,130.0,"[89, 82, 87]",96,96.0,96.0,96,96,96
1001,ropi01,907875,Santa Maria Tex Mex Taco shells,178.0,"[49, 148, 186]",98,98.0,98.0,98,98,98
1002,ropi01,908106,TePe Easy Pick Mezizubní párátka s cestovním pouzdrem oranžová XS/S,30.0,"[14, 72, 163]",16,4.0,4.0,21,20,4
1003,ropi01,908124,Šmajstrla Pohanková krupice,404.0,"[43, 155, 175]",37,34.0,31.0,43,43,34
1004,ropi01,908340,Jacobs Aroma Standard pražená mletá káva,260.0,"[48, 84, 151]",3,3.0,3.0,3,3,3
1005,ropi01,908409,Leros Natur Močové cesty čaj,40.0,"[76, 66, 88]",48,40.0,39.0,50,49,39
1006,ropi01,908487,Ovocňák Mošt jablko,210.0,"[172, 47, 88]",1,1.0,1.0,1,1,1
1007,ropi01,908496,Ovocňák Mošt jablko a červená řepa,220.0,"[43, 112, 157]",6,6.0,6.0,6,6,6
1008,ropi01,908499,Ovocňák Kapsička jablko,130.0,"[33, 77, 147]",16,14.0,14.0,16,16,14
1009,ropi01,908505,Ovocňák Kapsička jablko a meruňka,128.0,"[147, 37, 74]",38,26.0,26.0,40,40,26
1010,ropi01,908877,TePe Colour Soft zubní kartáčky,53.0,"[230, 90, 18]",22,20.0,20.0,22,22,20
1011,ropi01,908880,TePe Dětské zubní kartáčky extra soft zoo 3+,50.0,"[220, 80, 10]",72,56.0,55.0,81,78,56
1012,ropi01,908895,Maretti Bruschette s příchutí špenátu a sýru,76.0,"[65, 113, 197]",3,3.0,3.0,3,3,3
1013,ropi01,908907,Eco by Naty Dámské ECO vložky normal,120.0,"[205, 43, 85]",19,19.0,19.0,19,19,19
1014,ropi01,908910,Eco by Naty Dámské ECO vložky super,120.0,"[205, 38, 85]",40,37.0,37.0,40,40,37
1015,ropi01,908913,Eco by Naty Dámské ECO vložky noční,110.0,"[220, 40, 85]",25,25.0,25.0,25,25,25
1016,ropi01,908916,Eco by Naty Dámské ECO slipové vložky normal,78.0,"[127, 55, 65]",26,26.0,26.0,26,26,26
1017,ropi01,908925,"Attitude Vlhčené ubrousky, bez vůně",460.0,"[53, 109, 194]",15,14.0,14.0,15,15,14
1018,ropi01,909003,Gillette Venus Náhradní hlavice,34.0,"[27, 95, 105]",14,14.0,14.0,14,14,14
1019,ropi01,909027,Niteola Klasické kolíčky na prádlo,90.0,"[30, 70, 110]",21,21.0,21.0,22,21,21
1020,ropi01,909213,Hello Cuuc 100% ovocná přesnídávka s mangem kapsička,110.0,"[32, 78, 141]",32,29.0,29.0,33,32,29
1021,ropi01,909216,Hello Cuuc 100% ovocná přesnídávka s banány kapsička,110.0,"[32, 76, 137]",11,11.0,11.0,11,11,11
1022,ropi01,909357,Organyc BIO Dámské vložky denní,110.0,"[78, 95, 124]",34,32.0,32.0,34,34,32
1023,ropi01,909360,Organyc BIO Dámské vložky dlouhé noční,130.0,"[80, 101, 118]",25,25.0,25.0,26,25,25
1024,ropi01,909375,Old England Černý čaj,100.0,"[69, 71, 142]",43,42.0,42.0,43,43,42
1025,ropi01,909387,Biogena Čaj Majestic Noni & švestka,88.0,"[75, 81, 138]",22,22.0,22.0,22,22,22
1026,ropi01,909393,Biogena Čaj Majestic Goji & limetka,88.0,"[82, 70, 137]",1,1.0,1.0,1,1,1
1027,ropi01,909834,Kotányi Paprika lahůdková,127.0,"[43, 65, 151]",88,64.0,63.0,94,93,64
1028,ropi01,909888,"Tierra Verde Žlučové mýdlo na praní, odstraňovač skvrn",156.0,"[30, 56, 97]",68,61.0,61.0,68,68,61
1029,ropi01,909993,Kotányi Kuře grilované,30.0,"[11, 103, 139]",48,41.0,41.0,50,48,41
1030,ropi01,910011,Kotányi Guláš,30.0,"[11, 102, 139]",80,78.0,78.0,85,80,78
1031,ropi01,910191,Carefree Cotton slipové vložky,142.0,"[159, 144, 69]",79,79.0,79.0,79,79,79
1032,ropi01,910269,Somat Deo duo perls s vůní citronu a pomeranče,30.0,"[37, 94, 175]",37,37.0,37.0,37,37,37
1033,ropi01,910284,Sudocrem,78.0,"[53, 86, 86]",12,4.0,4.0,50,50,4
1034,ropi01,910362,Colgate Zig zag zubní kartáček střední,46.0,"[27, 69, 228]",18,16.0,16.0,19,18,16
1035,ropi01,910467,Lipton Yellow label tea 50 sáčků,134.0,"[83, 66, 153]",5,5.0,5.0,5,5,5
1036,ropi01,910563,Chilly Pocket delicate intimní ubrousky,60.0,"[27, 64, 126]",38,32.0,32.0,40,40,32
1037,ropi01,910689,Extrudo Kukuřičná mouka polohrubá,408.0,"[65, 121, 214]",42,44.0,41.0,46,46,44
1038,ropi01,911169,Duck Fresh Discs Mořská vůně 36ml,92.0,"[53, 142, 183]",30,30.0,30.0,30,30,30
1039,ropi01,911253,Jihlavanka Extra Standard Jemná mletá káva,150.0,"[44, 112, 207]",35,35.0,35.0,36,36,35
1040,ropi01,911265,"Tchibo Exclusive pražená mletá káva 250g x 2ks,",518.0,"[48, 158, 176]",17,17.0,17.0,17,17,17
1041,ropi01,911271,Tchibo Espresso Milano pražená mletá káva,258.0,"[147, 49, 92]",14,14.0,14.0,14,14,14
1042,ropi01,911274,Tchibo Espresso Sicilia pražená mletá káva,262.0,"[147, 48, 93]",11,11.0,11.0,11,11,11
1043,ropi01,911292,Davidoff Café Créme pražená zrnková káva,500.0,"[75, 122, 195]",2,2.0,2.0,2,2,2
1044,ropi01,911298,"Kotányi Šafrán 0,12g",4.0,"[10, 103, 139]",42,43.0,43.0,84,43,43
1045,ropi01,911358,Tchibo Cafissimo Caffé Crema Decaffeinated,116.0,"[49, 61, 199]",29,24.0,24.0,29,29,24
1046,ropi01,911406,Santa Maria Tex Mex Fajita seasoning mix kořenící přípravek,30.0,"[11, 118, 154]",82,80.0,80.0,86,82,80
1047,ropi01,911427,Racio Silouette kukuřičné chlebíčky s mléčnokakaovým dekorem,78.0,"[27, 94, 209]",37,39.0,39.0,39,39,39
1048,ropi01,911436,Racio Polomáčené chlebíčky kukuřičné v mléčnokakaové polevě,105.0,"[28, 97, 210]",54,52.0,52.0,55,55,52
1049,ropi01,911442,Racio Raciolky mléčnokakaové,60.0,"[48, 142, 192]",84,83.0,83.0,85,85,83
